iter	Passed	Remaining
0	4	4257
1	6	3193
2	11	3862
3	13	3241
4	14	2928
5	16	2765
6	20	2902
7	22	2779
8	27	3055
9	29	2941
10	33	3019
11	36	2995
12	40	3108
13	45	3230
14	57	3768
15	70	4313
16	73	4240
17	87	4766
18	89	4642
19	93	4584
20	96	4496
21	99	4404
22	100	4284
23	113	4614
24	117	4572
25	121	4557
26	123	4451
27	129	4493
28	134	4510
29	143	4627
30	146	4576
31	148	4503
32	160	4706
33	163	4642
34	173	4794
35	177	4758
36	180	4693
37	182	4619
38	184	4534
39	197	4747
40	199	4669
41	201	4595
42	239	5339
43	254	5531
44	263	5594
45	271	5634
46	281	5710
47	288	5720
48	317	6154
49	323	6150
50	333	6198
51	342	6242
52	345	6168
53	359	6290
54	372	6392
55	381	6426
56	397	6581
57	410	6660
58	429	6856
59	445	6979
60	459	7080
61	472	7142
62	476	7094
63	491	7185
64	494	7114
65	507	7176
66	517	7210
67	526	7214
68	541	7310
69	551	7327
70	560	7327
71	572	7372
72	596	7580
73	600	7516
74	614	7579
75	628	7637
76	658	7888
77	664	7856
78	676	7889
79	704	8096
80	708	8034
81	726	8128
82	751	8303
83	767	8365
84	781	8409
85	799	8498
86	802	8423
87	809	8384
88	813	8326
89	815	8242
90	820	8195
91	823	8132
92	833	8126
93	835	8048
94	839	7993
95	842	7931
96	849	7906
97	851	7841
98	853	7766
99	854	7693
100	863	7682
101	867	7639
102	870	7584
103	872	7519
104	880	7501
105	884	7461
106	887	7406
107	891	7362
108	892	7298
109	897	7264
110	899	7207
111	901	7151
112	909	7139
113	910	7079
114	912	7020
115	913	6962
116	914	6904
117	919	6870
118	932	6900
119	933	6849
120	960	6976
121	974	7014
122	984	7021
123	987	6978
124	992	6949
125	1005	6974
126	1011	6953
127	1019	6947
128	1027	6937
129	1040	6963
130	1046	6941
131	1061	6977
132	1063	6930
133	1081	6986
134	1082	6938
135	1084	6889
136	1091	6877
137	1097	6855
138	1108	6863
139	1119	6876
140	1121	6832
141	1126	6808
142	1137	6815
143	1147	6822
144	1150	6785
145	1159	6784
146	1167	6774
147	1179	6789
148	1188	6786
149	1192	6758
150	1203	6768
151	1212	6764
152	1221	6759
153	1227	6745
154	1236	6740
155	1245	6736
156	1246	6695
157	1251	6668
158	1262	6675
159	1265	6646
160	1269	6613
161	1274	6595
162	1284	6595
163	1294	6596
164	1303	6597
165	1313	6600
166	1323	6603
167	1331	6595
168	1335	6565
169	1339	6538
170	1344	6516
171	1356	6528
172	1371	6553
173	1383	6567
174	1437	6776
175	1457	6824
176	1484	6903
177	1492	6893
178	1505	6904
179	1513	6894
180	1522	6890
181	1538	6915
182	1548	6915
183	1558	6912
184	1560	6875
185	1573	6884
186	1585	6892
187	1587	6858
188	1602	6875
189	1622	6917
190	1624	6880
191	1631	6866
192	1636	6844
193	1644	6832
194	1676	6922
195	1698	6966
196	1704	6945
197	1709	6922
198	1720	6927
199	1729	6916
200	1732	6886
201	1747	6904
